[1, 2, 4]
[1, 7]
[8, 1, 4]
[9, 2, 1]
[8, 9, 1]
[1, 10, 2]
[8, 1, 10]
[3, 0, 11]
[2, 11, 4]
[0, 11, 5]
[0, 11, 6]
[11, 7]
[8, 11, 4]
[9, 2, 11]
[8, 9, 11]
[10, 11, 2]
[8, 10, 11]
[1, 3, 12]
[4, 12, 1]
[1, 12, 5]
[1, 12, 6]
[9, 12, 1]
[1, 10, 12]
[3, 11, 12]
[4, 11, 12]
[11, 12, 5]
[11, 12, 6]
[9, 11, 12]
[10, 11, 12]
[2, 4, 13]
[13, 7]
[8, 4, 13]
[9, 2, 13]
[8, 9, 13]
[10, 2, 13]
[8, 10, 13]
[3, 12, 13]
[4, 12, 13]
[12, 13, 5]
[12, 13, 6]
[9, 12, 13]
[10, 12, 13]
[1, 4, 14]
[9, 14, 1]
[1, 10, 14]
[11, 4, 14]
[0, 9, 11, 14]
[0, 10, 11, 14]
[4, 13, 14]
[9, 13, 14]
[10, 13, 14]
[0, 11, 15]
[1, 12, 15]
[11, 12, 15]
[12, 13, 15]
