[0, 2, 4, 5, 6]
[0, 3, 4, 5, 6]
[2, 4, 5, 6, 7]
[3, 4, 5, 6, 7]
[8, 0, 2, 4, 6]
[8, 0, 3, 4, 6]
[8, 2, 4, 6, 7]
[8, 3, 4, 6, 7]
[0, 9, 2, 4, 6]
[0, 9, 3, 4, 6]
[0, 1, 10, 5, 6]
[0, 10, 2, 5, 6]
[0, 10, 3, 5, 6]
[10, 2, 5, 6, 7]
[10, 3, 5, 6, 7]
[8, 1, 10, 6, 0]
[8, 0, 10, 2, 6]
[8, 0, 10, 3, 6]
[8, 10, 2, 6, 7]
[8, 10, 3, 6, 7]
[0, 9, 10, 6, 1]
[0, 9, 10, 2, 6]
[0, 9, 10, 3, 6]
[0, 11, 4, 5, 6]
[8, 0, 11, 4, 6]
[0, 9, 11, 4, 6]
[0, 10, 11, 5, 6]
[8, 0, 10, 11, 6]
[0, 9, 10, 11, 6]
[1, 5, 6, 7, 10, 12]
[1, 6, 7, 8, 10, 12]
[9, 10, 12, 6, 1]
[4, 5, 6, 7, 11, 12]
[4, 6, 7, 8, 11, 12]
[9, 11, 12, 6, 4]
[5, 6, 7, 10, 11, 12]
[6, 7, 8, 10, 11, 12]
[9, 10, 11, 12, 6]
[4, 5, 13, 6, 7]
[8, 4, 13, 6, 7]
[10, 5, 13, 6, 7]
[8, 10, 13, 6, 7]
[2, 4, 6, 14, 5]
[3, 4, 6, 14, 5]
[8, 2, 4, 6, 14]
[8, 3, 4, 6, 14]
[9, 2, 4, 6, 14]
[9, 3, 4, 6, 14]
[1, 10, 6, 14, 5]
[10, 2, 6, 14, 5]
[10, 3, 6, 14, 5]
[8, 1, 10, 6, 14]
[8, 10, 2, 6, 14]
[8, 10, 3, 6, 14]
[9, 10, 6, 14, 1]
[9, 10, 2, 6, 14]
[9, 10, 3, 6, 14]
[11, 4, 6, 14, 5]
[8, 11, 4, 6, 14]
[9, 11, 4, 6, 14]
[10, 11, 6, 14, 5]
[8, 10, 11, 6, 14]
[9, 10, 11, 6, 14]
[6, 4, 13, 14, 5]
[8, 6, 4, 13, 14]
[9, 6, 4, 13, 14]
[10, 6, 13, 14, 5]
[8, 10, 6, 13, 14]
[9, 10, 6, 13, 14]
[2, 7, 4, 5, 15]
[8, 2, 7, 4, 15]
[1, 10, 7, 5, 15]
[2, 10, 7, 5, 15]
[8, 1, 10, 7, 15]
[8, 10, 7, 2, 15]
[7, 11, 4, 5, 15]
[8, 7, 11, 4, 15]
[7, 10, 11, 5, 15]
[8, 7, 10, 11, 15]
[2, 4, 5, 14, 15]
[8, 2, 4, 14, 15]
[9, 2, 4, 14, 15]
[1, 10, 5, 14, 15]
[10, 2, 5, 14, 15]
[8, 1, 10, 14, 15]
[8, 10, 2, 14, 15]
[9, 10, 1, 14, 15]
[9, 10, 2, 14, 15]
[11, 4, 5, 14, 15]
[8, 11, 4, 14, 15]
[9, 11, 4, 14, 15]
[10, 11, 5, 14, 15]
[8, 10, 11, 14, 15]
[9, 10, 11, 14, 15]
