[3, 4, 13, 6]
[3, 13, 6, 5]
[0, 13, 6, 7]
[4, 13, 6, 7]
[5, 13, 6, 7]
[8, 3, 13, 6]
[8, 13, 6, 7]
[10, 3, 13, 6]
[1, 10, 13, 7]
[10, 2, 13, 6, 7]
[9, 10, 13, 6, 7]
[4, 12, 13, 6]
[12, 13, 6, 5]
[8, 12, 13, 6]
[1, 10, 12, 13]
[9, 10, 12, 13, 6]
[0, 6, 14, 7]
[4, 6, 14, 7]
[5, 6, 14, 7]
[8, 6, 14, 7]
[1, 10, 14, 7]
[10, 2, 6, 14, 7]
[9, 10, 6, 14, 7]
[0, 11, 6, 14]
[3, 11, 4, 6, 14]
[3, 11, 6, 14, 5]
[8, 3, 11, 6, 14]
[2, 10, 11, 6, 14]
[3, 10, 11, 6, 14]
[4, 11, 12, 6, 14]
[11, 12, 6, 14, 5]
[8, 11, 12, 6, 14]
[1, 10, 11, 12, 14]
[6, 9, 10, 11, 12, 14]
[7, 4, 13, 15]
[7, 5, 13, 15]
[8, 7, 13, 15]
[10, 7, 13, 15]
[4, 12, 13, 15]
[5, 12, 13, 15]
[8, 12, 13, 15]
[10, 12, 13, 15]
[7, 4, 14, 15]
[7, 5, 14, 15]
[8, 7, 14, 15]
[10, 7, 14, 15]
[4, 11, 12, 14, 15]
[11, 12, 5, 14, 15]
[8, 11, 12, 14, 15]
[10, 11, 12, 14, 15]
