[8, 2, 4, 7]
[8, 4, 6, 7]
[9, 4, 6, 1]
[8, 9, 4, 6]
[9, 10, 4, 2, 1]
[8, 9, 10, 4, 2]
[11, 4, 6]
[10, 11, 4, 2]
[8, 4, 13, 7]
[9, 10, 4, 13, 1]
[8, 9, 10, 4, 13]
[10, 11, 4, 13]
[8, 12, 13, 7]
[9, 10, 12, 13, 1]
[8, 9, 10, 12, 13]
[10, 11, 12, 13]
[8, 6, 14, 7]
[8, 9, 6, 14]
[11, 6, 14]
[8, 13, 14, 7]
[8, 9, 13, 14]
[11, 13, 14]
[8, 2, 7, 15]
[8, 7, 6, 15]
[9, 2, 3, 15]
[9, 2, 5, 15]
[9, 1, 6, 15]
[9, 3, 6, 15]
[9, 5, 6, 15]
[8, 9, 6, 15]
[9, 10, 1, 2, 15]
[8, 9, 10, 2, 15]
[3, 2, 11, 15]
[2, 11, 5, 15]
[3, 11, 6, 15]
[11, 5, 6, 15]
[10, 11, 2, 15]
[8, 0, 7, 13, 15]
[9, 3, 13, 15]
[9, 5, 13, 15]
[8, 9, 13, 0, 15]
[9, 10, 1, 13, 15]
[8, 9, 10, 13, 15]
[0, 11, 13, 15]
[3, 11, 13, 15]
[11, 5, 13, 15]
[10, 11, 13, 15]
