[1, 2]
[0, 3, 5]
[0, 4, 5]
[2, 3, 7]
[3, 5, 6, 7]
[8, 0, 3]
[8, 0, 4]
[8, 3, 7]
[10, 3, 5, 6]
[10, 4, 5, 6]
[8, 10, 3]
[8, 10, 4]
[3, 2, 11]
[2, 11, 4]
[3, 11, 5, 6]
[11, 4, 5, 6]
[8, 3, 11]
[8, 11, 4]
[9, 2, 11]
[9, 11, 5, 6]
[8, 9, 11]
[1, 12, 5]
[3, 12, 5]
[4, 12, 5]
[8, 1, 12]
[8, 3, 12]
[8, 4, 12]
[9, 12, 5]
[8, 9, 12]
[0, 13, 5]
[2, 13, 7]
[5, 13, 6, 7]
[8, 0, 13]
[8, 13, 7]
[10, 13, 6, 5]
[8, 10, 13]
[2, 11, 13]
[11, 13, 6, 5]
[8, 11, 13]
[12, 13, 5]
[8, 12, 13]
[1, 6, 14, 5]
[3, 6, 14, 5]
[4, 6, 14, 5]
[8, 1, 14]
[8, 3, 14]
[8, 4, 14]
[6, 13, 14, 5]
[8, 13, 14]
[1, 5, 15]
[3, 5, 15]
[4, 5, 15]
[8, 1, 15]
[8, 3, 15]
[8, 4, 15]
[9, 5, 15]
[8, 9, 15]
[5, 13, 15]
[8, 13, 15]
