[0, 9, 2, 4, 1]
[0, 9, 2, 5, 1]
[9, 2, 4, 6]
[9, 2, 5, 6]
[9, 2, 4, 7]
[9, 2, 5, 7]
[0, 1, 2, 3, 8, 9]
[8, 9, 2, 3, 6]
[8, 9, 2, 3, 7]
[0, 1, 2, 8, 9, 10]
[8, 9, 10, 2, 6]
[8, 9, 10, 2, 7]
[9, 2, 11, 4]
[9, 2, 11, 5]
[8, 9, 2, 11, 3]
[8, 9, 10, 11, 2]
[0, 4, 2, 12, 1]
[0, 1, 2, 12, 5]
[4, 2, 12, 6]
[2, 12, 5, 6]
[4, 2, 12, 7]
[2, 12, 5, 7]
[0, 1, 2, 3, 8, 12]
[8, 2, 3, 12, 6]
[8, 2, 3, 12, 7]
[0, 1, 2, 8, 10, 12]
[8, 10, 12, 2, 6]
[8, 10, 12, 2, 7]
[4, 2, 11, 12]
[2, 11, 12, 5]
[8, 3, 2, 11, 12]
[8, 10, 11, 12, 2]
[0, 9, 4, 13, 1]
[0, 9, 1, 13, 5]
[9, 4, 13, 6]
[9, 13, 6, 5]
[9, 4, 13, 7]
[9, 5, 13, 7]
[0, 1, 3, 8, 9, 13]
[8, 9, 3, 13, 6]
[8, 9, 3, 13, 7]
[0, 1, 8, 9, 10, 13]
[8, 9, 10, 13, 6]
[8, 9, 10, 13, 7]
[9, 11, 4, 13]
[9, 11, 13, 5]
[8, 9, 11, 13, 3]
[8, 9, 10, 11, 13]
[0, 4, 12, 13, 1]
[0, 1, 12, 13, 5]
[4, 12, 13, 6]
[12, 13, 6, 5]
[4, 12, 13, 7]
[5, 12, 13, 7]
[0, 1, 3, 8, 12, 13]
[8, 3, 12, 13, 6]
[8, 3, 12, 13, 7]
[0, 1, 8, 10, 12, 13]
[8, 10, 12, 13, 6]
[8, 10, 12, 13, 7]
[4, 11, 12, 13]
[11, 12, 13, 5]
[8, 3, 11, 12, 13]
[8, 10, 11, 12, 13]
[0, 1, 2, 3, 9, 14]
[9, 2, 3, 6, 14]
[9, 2, 3, 14, 7]
[3, 9, 2, 11, 14]
[0, 1, 2, 3, 12, 14]
[2, 3, 12, 6, 14]
[2, 3, 12, 14, 7]
[3, 2, 11, 12, 14]
[0, 1, 3, 9, 13, 14]
[9, 6, 3, 13, 14]
[9, 3, 13, 14, 7]
[3, 9, 11, 13, 14]
[0, 1, 3, 12, 13, 14]
[6, 3, 12, 13, 14]
[3, 12, 13, 14, 7]
[3, 11, 12, 13, 14]
[0, 1, 2, 3, 9, 15]
[9, 2, 3, 6, 15]
[3, 9, 2, 7, 15]
[0, 1, 2, 9, 10, 15]
[9, 10, 2, 6, 15]
[9, 10, 7, 2, 15]
[3, 9, 2, 11, 15]
[9, 10, 11, 2, 15]
[0, 1, 2, 3, 12, 15]
[2, 3, 12, 6, 15]
[3, 2, 7, 12, 15]
[0, 1, 2, 10, 12, 15]
[10, 12, 2, 6, 15]
[10, 7, 12, 2, 15]
[3, 2, 11, 12, 15]
[10, 11, 12, 2, 15]
[0, 1, 3, 9, 13, 15]
[9, 3, 13, 6, 15]
[3, 9, 7, 13, 15]
[0, 1, 9, 10, 13, 15]
[9, 10, 13, 6, 15]
[9, 10, 7, 13, 15]
[3, 9, 11, 13, 15]
[9, 10, 11, 13, 15]
[0, 1, 3, 12, 13, 15]
[3, 12, 13, 6, 15]
[3, 7, 12, 13, 15]
[0, 1, 10, 12, 13, 15]
[10, 12, 13, 6, 15]
[10, 7, 12, 13, 15]
[3, 11, 12, 13, 15]
[10, 11, 12, 13, 15]
