[9, 3, 7]
[9, 5, 6, 7]
[8, 9, 3]
[8, 9, 5, 6]
[9, 10, 3]
[9, 10, 5, 6]
[0, 10, 12, 6]
[4, 10, 12, 6]
[3, 11, 12, 7]
[11, 12, 5, 6, 7]
[8, 3, 11, 12]
[8, 11, 12, 5, 6]
[3, 10, 11, 12]
[10, 11, 12, 5, 6]
[9, 2, 13, 7]
[9, 5, 13, 7]
[8, 9, 2, 13]
[8, 9, 13, 5]
[9, 10, 2, 13]
[9, 10, 13, 5]
[0, 10, 2, 12, 13]
[4, 10, 2, 12, 13]
[2, 11, 12, 13, 7]
[5, 11, 12, 13, 7]
[8, 2, 11, 12, 13]
[8, 11, 12, 13, 5]
[2, 10, 11, 12, 13]
[10, 11, 12, 13, 5]
[3, 14, 7]
[1, 6, 14, 7]
[5, 6, 14, 7]
[8, 3, 14]
[8, 1, 6, 14]
[8, 6, 14, 5]
[10, 3, 14]
[0, 10, 6, 14]
[1, 10, 6, 14]
[10, 4, 6, 14]
[10, 6, 14, 5]
[1, 13, 14, 7]
[2, 13, 14, 7]
[5, 13, 14, 7]
[8, 1, 13, 14]
[8, 2, 13, 14]
[8, 13, 14, 5]
[1, 10, 13, 14]
[0, 10, 2, 13, 14]
[10, 2, 4, 13, 14]
[10, 13, 14, 5]
[9, 7, 15]
[8, 9, 15]
[9, 10, 15]
[0, 10, 12, 15]
[4, 10, 12, 15]
[7, 11, 12, 15]
[8, 11, 12, 15]
[10, 11, 12, 15]
[1, 7, 14, 15]
[8, 1, 14, 15]
[0, 10, 14, 15]
[1, 10, 14, 15]
[10, 4, 14, 15]
