[2, 6, 7]
[8, 2, 6]
[2, 11, 6]
[0, 12, 6]
[2, 12, 6]
[12, 5, 6]
[10, 12, 6]
[1, 13, 7]
[2, 13, 7]
[3, 13, 7]
[8, 1, 13]
[8, 2, 13]
[8, 3, 13]
[8, 4, 13]
[9, 13, 7]
[8, 9, 13]
[1, 11, 13]
[2, 11, 13]
[3, 11, 13]
[11, 4, 13]
[9, 11, 13]
[1, 12, 13]
[2, 12, 13]
[0, 3, 12, 13]
[3, 12, 13, 5]
[4, 12, 13, 5]
[9, 12, 13, 5]
[10, 12, 13]
[0, 6, 14]
[2, 6, 14]
[6, 14, 5]
[10, 6, 14]
[1, 13, 14]
[2, 13, 14]
[0, 3, 13, 14]
[3, 13, 14, 5]
[4, 13, 14, 5]
[9, 13, 14, 5]
[10, 13, 14]
[1, 7, 15]
[2, 7, 15]
[3, 7, 15]
[8, 1, 15]
[8, 2, 15]
[8, 3, 15]
[8, 4, 15]
[9, 7, 15]
[8, 9, 15]
[1, 11, 15]
[2, 11, 15]
[3, 11, 15]
[11, 4, 15]
[9, 11, 15]
[1, 12, 15]
[2, 12, 15]
[0, 3, 12, 15]
[3, 12, 5, 15]
[4, 12, 5, 15]
[9, 12, 5, 15]
[10, 12, 15]
[1, 14, 15]
[2, 14, 15]
[0, 3, 14, 15]
[3, 5, 14, 15]
[4, 5, 14, 15]
[9, 5, 14, 15]
[10, 14, 15]
