[3, 1, 11, 4]
[1, 11, 4, 6]
[8, 3, 11, 4]
[8, 11, 4, 6]
[9, 11, 4, 1]
[8, 9, 11, 4]
[1, 10, 11, 4]
[8, 10, 11, 4]
[3, 11, 12]
[11, 12, 6]
[9, 11, 12]
[10, 11, 12]
[1, 3, 4, 13]
[1, 4, 13, 6]
[9, 4, 13, 1]
[1, 10, 4, 13]
[3, 12, 13]
[12, 13, 6]
[9, 12, 13]
[10, 12, 13]
[2, 3, 14]
[1, 3, 4, 14]
[3, 4, 5, 14]
[2, 6, 14]
[1, 4, 6, 14]
[4, 6, 14, 5]
[3, 4, 14, 7]
[4, 6, 14, 7]
[8, 3, 4, 14]
[8, 4, 6, 14]
[0, 9, 2, 14]
[9, 4, 14, 1]
[9, 4, 5, 14]
[9, 4, 14, 7]
[8, 9, 4, 14, 0]
[10, 2, 14]
[1, 10, 4, 14]
[10, 4, 5, 14]
[10, 4, 14, 7]
[8, 10, 4, 14]
[3, 12, 5, 14]
[12, 6, 14, 5]
[0, 9, 12, 14]
[9, 12, 5, 14]
[10, 12, 5, 14]
[1, 11, 4, 15]
[8, 11, 4, 15]
[11, 12, 15]
[1, 4, 13, 15]
[12, 13, 15]
[2, 14, 15]
[1, 4, 14, 15]
[4, 5, 14, 15]
[7, 4, 14, 15]
[8, 4, 14, 15]
[12, 5, 14, 15]
