[0, 2, 3, 4, 7]
[1, 2, 3, 4, 7]
[0, 3, 4, 5, 7]
[1, 3, 4, 5, 7]
[2, 3, 4, 6, 7]
[3, 4, 5, 6, 7]
[8, 0, 3, 5, 7]
[8, 1, 3, 5, 7]
[8, 3, 5, 6, 7]
[0, 9, 3, 4, 7]
[9, 3, 4, 1, 7]
[9, 3, 4, 6, 7]
[8, 9, 3, 0, 7]
[8, 9, 3, 1, 7]
[8, 9, 3, 6, 7]
[0, 10, 4, 2, 7]
[1, 10, 4, 2, 7]
[10, 4, 2, 6, 7]
[8, 0, 10, 7]
[8, 1, 10, 7]
[8, 10, 6, 7]
[0, 11, 4, 7]
[11, 4, 6, 7]
[8, 0, 11, 7]
[8, 11, 6, 7]
[0, 2, 3, 12, 7]
[1, 2, 3, 12, 7]
[0, 3, 12, 5, 7]
[1, 3, 12, 5, 7]
[2, 3, 12, 6, 7]
[3, 12, 5, 6, 7]
[0, 9, 3, 12, 7]
[9, 3, 12, 1, 7]
[9, 3, 12, 6, 7]
[0, 10, 12, 2, 7]
[1, 10, 12, 2, 7]
[10, 12, 2, 6, 7]
[0, 11, 12, 7]
[11, 12, 6, 7]
[2, 3, 4, 13]
[3, 4, 13, 5]
[8, 3, 13, 5]
[9, 3, 4, 13]
[8, 9, 3, 13]
[10, 2, 4, 13]
[8, 10, 13]
[2, 3, 12, 13]
[3, 12, 13, 5]
[9, 3, 12, 13]
[10, 2, 12, 13]
[0, 3, 4, 14, 7]
[1, 3, 4, 14, 7]
[3, 4, 6, 14, 7]
[8, 0, 3, 14, 7]
[8, 1, 3, 14, 7]
[8, 3, 6, 14, 7]
[0, 3, 12, 14, 7]
[1, 3, 12, 14, 7]
[3, 12, 6, 14, 7]
[3, 4, 13, 14]
[8, 3, 13, 14]
[3, 12, 13, 14]
[3, 0, 7, 5, 15]
[3, 1, 7, 5, 15]
[3, 7, 5, 6, 15]
[3, 9, 7, 0, 15]
[3, 9, 7, 1, 15]
[3, 9, 7, 6, 15]
[0, 10, 7, 15]
[1, 10, 7, 15]
[10, 7, 6, 15]
[7, 0, 11, 15]
[7, 11, 6, 15]
[3, 5, 13, 15]
[9, 3, 13, 15]
[10, 13, 15]
[3, 0, 7, 14, 15]
[3, 1, 7, 14, 15]
[3, 7, 6, 14, 15]
[3, 13, 14, 15]
