[1, 10, 4]
[0, 10, 4, 5]
[8, 0, 10, 4]
[1, 11, 4]
[0, 11, 4, 5]
[0, 11, 4, 6]
[8, 0, 11, 4]
[1, 10, 12]
[0, 10, 12, 5]
[8, 0, 10, 12]
[8, 10, 12, 7]
[1, 11, 12]
[0, 11, 12, 5]
[0, 11, 12, 6]
[11, 12, 6, 7]
[8, 0, 11, 12]
[8, 11, 12, 7]
[0, 10, 13]
[0, 11, 13]
[0, 10, 5, 14]
[10, 14, 7]
[9, 10, 14, 1]
[0, 11, 5, 14]
[0, 11, 6, 14]
[11, 6, 14, 7]
[9, 11, 14, 1]
[10, 4, 2, 15]
[10, 4, 5, 15]
[8, 10, 4, 15]
[8, 9, 10, 15]
[2, 11, 4, 15]
[11, 4, 5, 15]
[11, 4, 6, 15]
[8, 11, 4, 15]
[8, 9, 11, 15]
[10, 12, 2, 15]
[10, 3, 12, 15]
[10, 12, 5, 15]
[8, 10, 12, 15]
[2, 11, 12, 15]
[3, 11, 12, 15]
[11, 12, 5, 15]
[11, 12, 6, 15]
[8, 11, 12, 15]
[9, 10, 13, 15]
[9, 11, 13, 15]
[10, 3, 14, 15]
[9, 10, 2, 14, 15]
[9, 10, 5, 14, 15]
[3, 11, 14, 15]
[9, 2, 11, 14, 15]
[9, 11, 5, 14, 15]
[9, 11, 6, 14, 15]
