[1, 2, 4]
[1, 5, 6]
[9, 5, 1]
[0, 10, 6]
[1, 10, 2, 6]
[8, 1, 10, 6]
[0, 12, 6]
[1, 2, 12, 6]
[8, 1, 12, 6]
[0, 9, 12]
[9, 2, 12, 1]
[8, 9, 12, 1]
[9, 13, 1]
[1, 10, 13, 6]
[1, 4, 14]
[3, 4, 14]
[1, 10, 6, 14]
[10, 3, 6, 14]
[10, 11, 14]
[1, 12, 6, 14]
[3, 12, 6, 14]
[9, 12, 14, 1]
[9, 3, 12, 14]
[9, 11, 12, 14]
[1, 4, 15]
[3, 4, 15]
[1, 10, 6, 15]
[10, 3, 6, 15]
[10, 7, 6, 15]
[10, 11, 15]
[1, 12, 6, 15]
[3, 12, 6, 15]
[7, 12, 6, 15]
[9, 12, 1, 15]
[9, 3, 12, 15]
[9, 7, 12, 15]
[9, 11, 12, 15]
