[8, 1, 10, 3, 0]
[8, 0, 10, 3, 4]
[8, 0, 10, 2, 6]
[8, 0, 10, 5, 7]
[8, 0, 10, 6, 7]
[8, 9, 10, 2, 0]
[0, 3, 7, 8, 9, 10]
[8, 1, 10, 11]
[8, 10, 11, 4]
[8, 10, 11, 5, 7]
[8, 10, 11, 6, 7]
[8, 9, 10, 11, 7]
[8, 1, 3, 12, 0]
[8, 4, 3, 12, 0]
[8, 0, 2, 12, 6]
[8, 0, 12, 5, 7]
[8, 0, 12, 6, 7]
[8, 9, 2, 12, 0]
[0, 3, 7, 8, 9, 12]
[8, 1, 11, 12]
[8, 4, 11, 12]
[8, 11, 12, 5, 7]
[8, 11, 12, 6, 7]
[8, 9, 11, 12, 7]
[8, 0, 10, 3, 13]
[8, 10, 11, 13]
[8, 0, 3, 12, 13]
[8, 11, 12, 13]
[1, 10, 3, 14]
[10, 3, 4, 14]
[10, 2, 6, 14]
[9, 10, 2, 14]
[9, 10, 3, 14, 7]
[1, 10, 11, 14]
[10, 11, 4, 14]
[10, 11, 5, 14, 7]
[10, 11, 6, 14, 7]
[9, 10, 11, 14, 7]
[1, 3, 12, 14]
[4, 3, 12, 14]
[2, 12, 6, 14]
[9, 2, 12, 14]
[9, 3, 12, 14, 7]
[1, 11, 12, 14]
[4, 11, 12, 14]
[11, 12, 5, 14, 7]
[11, 12, 6, 14, 7]
[9, 11, 12, 14, 7]
[10, 3, 13, 14]
[10, 11, 13, 14]
[3, 12, 13, 14]
[11, 12, 13, 14]
[8, 0, 10, 6, 15]
[8, 9, 10, 0, 15]
[8, 10, 11, 6, 15]
[8, 9, 10, 11, 15]
[8, 0, 12, 6, 15]
[8, 9, 12, 0, 15]
[8, 11, 12, 6, 15]
[8, 9, 11, 12, 15]
