[1, 3, 7]
[9, 3, 7]
[1, 10, 5, 6, 7]
[8, 1, 10, 6, 7]
[9, 10, 5, 6, 7]
[8, 9, 10, 2, 7]
[8, 9, 10, 6, 7]
[1, 4, 6, 7, 10, 11]
[9, 10, 11, 2, 7]
[4, 6, 7, 9, 10, 11]
[8, 1, 12, 7]
[8, 9, 2, 12, 7]
[4, 11, 12, 1, 7]
[9, 2, 11, 12, 7]
[9, 11, 12, 4, 7]
[3, 13, 7]
[10, 5, 13, 6, 7]
[8, 10, 13, 6, 7]
[4, 6, 7, 10, 11, 13]
[8, 12, 13, 7]
[4, 11, 12, 13, 7]
[0, 3, 15]
[9, 3, 15]
[0, 10, 5, 6, 15]
[8, 0, 10, 2, 15]
[8, 0, 10, 6, 15]
[9, 10, 5, 6, 15]
[8, 9, 10, 2, 15]
[8, 9, 10, 6, 15]
[0, 10, 11, 2, 15]
[0, 4, 6, 10, 11, 15]
[1, 4, 6, 10, 11, 15]
[9, 10, 11, 2, 15]
[4, 6, 9, 10, 11, 15]
[8, 0, 2, 12, 15]
[8, 9, 2, 12, 15]
[0, 2, 11, 12, 15]
[0, 4, 11, 12, 15]
[4, 11, 12, 1, 15]
[9, 2, 11, 12, 15]
[9, 11, 12, 4, 15]
[4, 6, 10, 11, 13, 15]
[4, 11, 12, 13, 15]
[1, 3, 14, 15]
[1, 5, 6, 10, 14, 15]
[8, 10, 2, 14, 15]
[1, 6, 8, 10, 14, 15]
[10, 11, 2, 14, 15]
[1, 6, 10, 11, 14, 15]
[8, 1, 12, 14, 15]
[8, 2, 12, 14, 15]
[1, 11, 12, 14, 15]
[2, 11, 12, 14, 15]
[3, 13, 14, 15]
[5, 6, 10, 13, 14, 15]
[6, 8, 10, 13, 14, 15]
[6, 10, 11, 13, 14, 15]
[8, 12, 13, 14, 15]
[11, 12, 13, 14, 15]
