[0, 1, 2, 4]
[1, 2, 4, 5]
[0, 1, 2, 6]
[1, 2, 5, 6]
[1, 2, 4, 7]
[1, 2, 6, 7]
[8, 0, 2, 4]
[8, 2, 4, 5]
[8, 0, 2, 6]
[8, 2, 5, 6]
[8, 2, 4, 7]
[8, 2, 6, 7]
[8, 9, 4]
[8, 9, 6]
[8, 0, 10]
[8, 10, 5]
[8, 10, 7]
[8, 9, 10]
[1, 2, 11, 4]
[1, 2, 11, 6]
[8, 2, 11, 4]
[8, 2, 11, 6]
[8, 10, 11]
[0, 4, 2, 12]
[4, 2, 12, 5]
[0, 2, 12, 6]
[2, 12, 5, 6]
[4, 2, 12, 7]
[2, 12, 6, 7]
[4, 2, 11, 12]
[2, 11, 12, 6]
[0, 2, 3, 4, 13]
[2, 3, 4, 13, 5]
[0, 2, 3, 13, 6]
[2, 3, 13, 6, 5]
[2, 3, 4, 13, 7]
[2, 3, 13, 6, 7]
[3, 2, 11, 4, 13]
[3, 2, 11, 13, 6]
[0, 1, 4, 14]
[1, 4, 5, 14]
[0, 1, 6, 14]
[1, 6, 14, 5]
[1, 4, 14, 7]
[1, 6, 14, 7]
[9, 4, 14, 1]
[9, 6, 14, 1]
[0, 1, 10, 14]
[1, 10, 5, 14]
[1, 10, 14, 7]
[9, 10, 14, 1]
[1, 11, 4, 14]
[1, 11, 6, 14]
[1, 10, 11, 14]
[0, 4, 12, 14]
[4, 12, 5, 14]
[0, 12, 6, 14]
[12, 6, 14, 5]
[4, 12, 14, 7]
[12, 6, 14, 7]
[9, 12, 14, 4]
[9, 12, 6, 14]
[0, 10, 12, 14]
[10, 12, 5, 14]
[10, 12, 14, 7]
[9, 10, 12, 14]
[4, 11, 12, 14]
[11, 12, 6, 14]
[10, 11, 12, 14]
[0, 3, 4, 13, 14]
[3, 4, 13, 14, 5]
[0, 6, 3, 13, 14]
[6, 3, 13, 14, 5]
[3, 4, 13, 14, 7]
[6, 3, 13, 14, 7]
[9, 3, 4, 13, 14]
[9, 6, 3, 13, 14]
[0, 10, 3, 13, 14]
[10, 3, 13, 14, 5]
[10, 3, 13, 14, 7]
[9, 10, 3, 13, 14]
[3, 11, 4, 13, 14]
[3, 6, 11, 13, 14]
[3, 10, 11, 13, 14]
[0, 1, 4, 15]
[1, 4, 5, 15]
[0, 1, 6, 15]
[1, 5, 6, 15]
[1, 7, 4, 15]
[1, 7, 6, 15]
[0, 1, 10, 15]
[1, 10, 5, 15]
[1, 10, 7, 15]
[1, 11, 4, 15]
[1, 11, 6, 15]
[1, 10, 11, 15]
[0, 4, 12, 15]
[4, 12, 5, 15]
[0, 12, 6, 15]
[12, 5, 6, 15]
[4, 7, 12, 15]
[7, 12, 6, 15]
[0, 10, 12, 15]
[10, 12, 5, 15]
[10, 7, 12, 15]
[4, 11, 12, 15]
[11, 12, 6, 15]
[10, 11, 12, 15]
[0, 3, 4, 13, 15]
[4, 3, 5, 13, 15]
[0, 3, 13, 6, 15]
[3, 5, 13, 6, 15]
[3, 7, 4, 13, 15]
[3, 7, 13, 6, 15]
[0, 10, 3, 13, 15]
[10, 3, 5, 13, 15]
[3, 10, 7, 13, 15]
[3, 11, 4, 13, 15]
[3, 11, 13, 6, 15]
[3, 10, 11, 13, 15]
