0,140.0,140.0,0
0.2,140.0,140.0,40
1,200.450032616,114.649277135,0
1.2,200.450032616,114.649277135,40
2,188.20437358,110.112206337,0
2.2,188.20437358,110.112206337,40
3,210.370140306,143.496814981,0
3.2,210.370140306,143.496814981,40
4,135.172735989,73.5575575074,0
4.2,135.172735989,73.5575575074,40
5,169.088644402,142.564394708,0
5.2,169.088644402,142.564394708,40
6,241.66529313,101.991830747,0
6.2,241.66529313,101.991830747,40
7,197.376245416,108.435461414,0
7.2,197.376245416,108.435461414,40
8,163.801283966,120.190008306,0
8.2,163.801283966,120.190008306,40
9,148.65764095,86.7204418782,0
9.2,148.65764095,86.7204418782,40
10,97.8431900574,58.1639092091,0
10.2,97.8431900574,58.1639092091,40
11,128.87711764,68.3738439567,0
11.2,128.87711764,68.3738439567,40
12,237.999243637,62.4671780521,0
12.2,237.999243637,62.4671780521,40
13,147.966801994,151.045528402,0
13.2,147.966801994,151.045528402,40
14,200.113873783,38.1511353937,0
14.2,200.113873783,38.1511353937,40
15,123.363558063,150.981337619,0
15.2,123.363558063,150.981337619,40
