0,140.0,140.0,0
0.2,140.0,140.0,40
1,174.496877778,192.374631869,0
1.2,174.496877778,192.374631869,40
2,226.490900592,193.914230027,0
2.2,226.490900592,193.914230027,40
3,254.504778333,162.374761347,0
3.2,254.504778333,162.374761347,40
4,173.446333569,89.0858653545,0
4.2,173.446333569,89.0858653545,40
5,83.205246102,121.826954639,0
5.2,83.205246102,121.826954639,40
6,179.587414286,33.113681522,0
6.2,179.587414286,33.113681522,40
7,184.264294774,49.3917292089,0
7.2,184.264294774,49.3917292089,40
8,246.328247189,146.651760244,0
8.2,246.328247189,146.651760244,40
9,105.024410188,143.137209707,0
9.2,105.024410188,143.137209707,40
10,138.246198011,89.2749316034,0
10.2,138.246198011,89.2749316034,40
11,281.158847899,115.017325108,0
11.2,281.158847899,115.017325108,40
12,274.653065872,103.108009289,0
12.2,274.653065872,103.108009289,40
13,202.04884669,139.088680184,0
13.2,202.04884669,139.088680184,40
14,185.647939834,150.59557895,0
14.2,185.647939834,150.59557895,40
15,242.337915219,95.380376029,0
15.2,242.337915219,95.380376029,40
