0,202.306770308,149.34575568,0
0.2,202.306770308,149.34575568,40
1,201.819357833,227.437926638,0
1.2,201.819357833,227.437926638,40
2,127.266977486,129.809237884,0
2.2,127.266977486,129.809237884,40
3,77.9887503236,82.8047785358,0
3.2,77.9887503236,82.8047785358,40
4,193.654336205,251.263614002,0
4.2,193.654336205,251.263614002,40
5,181.045896144,51.5907310186,0
5.2,181.045896144,51.5907310186,40
6,78.9837701766,170.177307338,0
6.2,78.9837701766,170.177307338,40
7,140.889890861,88.5615795914,0
7.2,140.889890861,88.5615795914,40
8,50.8215125233,62.2167435387,0
8.2,50.8215125233,62.2167435387,40
9,218.470045232,150.680778507,0
9.2,218.470045232,150.680778507,40
10,108.698814685,162.846665254,0
10.2,108.698814685,162.846665254,40
11,25.2434082058,120.496657665,0
11.2,25.2434082058,120.496657665,40
12,235.477504248,262.445114839,0
12.2,235.477504248,262.445114839,40
13,9.52552337048,128.423422137,0
13.2,9.52552337048,128.423422137,40
14,35.6603620951,223.940551933,0
14.2,35.6603620951,223.940551933,40
15,57.444375662,153.483532091,0
15.2,57.444375662,153.483532091,40
