v1,0,4.02272
v1,1,4.04416
v1,2,3.85196
v1,3,3.01099
v1,4,2.57341
v1,5,2.85045
v1,6,3.65595
v1,7,3.71873
v1,8,2.69098
v1,9,3.59892
v1,10,5.1691
v1,11,2.71354
v1,12,2.90073
v1,13,3.40122
v1,14,2.72943
v1,15,3.07517
v1,16,3.87272
v1,17,3.01035
v1,18,4.0605
v1,19,2.6754
v1,20,2.56955
v1,21,4.16231
v1,22,2.96068
v1,23,2.51906
v1,24,3.12921
v1,25,4.66353
v1,26,2.84717
v1,27,2.55897
v1,28,3.3143
v1,29,3.81904
v1,30,4.15262
v1,31,4.20861
v1,32,3.08105
v1,33,3.691
v1,34,3.56821
v1,35,3.46925
v1,36,2.73671
v1,37,3.89835
v1,38,4.42129
v1,39,4.67284
