dev,0,31.111074364,105.862701218,0
dev,0.2,31.111074364,105.862701218,40
dev,1,57.4700276336,172.579608832,0
dev,1.2,57.4700276336,172.579608832,40
dev,2,51.710464064,242.904273753,0
dev,2.2,51.710464064,242.904273753,40
dev,3,99.0373720105,179.287267171,0
dev,3.2,99.0373720105,179.287267171,40
dev,4,39.682298201,107.047877855,0
dev,4.2,39.682298201,107.047877855,40
dev,5,39.5988614332,48.6750647656,0
dev,5.2,39.5988614332,48.6750647656,40
dev,6,51.590221478,104.390580688,0
dev,6.2,51.590221478,104.390580688,40
dev,7,173.352857478,223.478928962,0
dev,7.2,173.352857478,223.478928962,40
dev,8,221.122900259,108.502638849,0
dev,8.2,221.122900259,108.502638849,40
dev,9,244.084468174,51.5605115439,0
dev,9.2,244.084468174,51.5605115439,40
dev,10,240.546177284,193.198971326,0
dev,10.2,240.546177284,193.198971326,40
dev,11,89.5248144857,165.422311032,0
dev,11.2,89.5248144857,165.422311032,40
dev,12,141.288889138,173.640368041,0
dev,12.2,141.288889138,173.640368041,40
dev,13,81.4930192736,209.641112919,0
dev,13.2,81.4930192736,209.641112919,40
dev,14,232.348307258,142.147880154,0
dev,14.2,232.348307258,142.147880154,40
dev,15,253.879301589,82.5477422549,0
dev,15.2,253.879301589,82.5477422549,40
link,0,0,0.2
link,1,1,1.2
link,2,2,2.2
link,3,3,3.2
link,4,4,4.2
link,5,5,5.2
link,6,6,6.2
link,7,7,7.2
link,8,8,8.2
link,9,9,9.2
link,10,10,10.2
link,11,11,11.2
link,12,12,12.2
link,13,13,13.2
link,14,14,14.2
link,15,15,15.2
