dev,0,140.0,140.0,0
dev,0.2,140.0,140.0,40
dev,1,131.052341035,164.891271857,0
dev,1.2,131.052341035,164.891271857,40
dev,2,154.145717647,115.270436865,0
dev,2.2,154.145717647,115.270436865,40
dev,3,184.241442957,130.527144605,0
dev,3.2,184.241442957,130.527144605,40
dev,4,105.156188522,149.567222332,0
dev,4.2,105.156188522,149.567222332,40
dev,5,176.4607527,209.877426863,0
dev,5.2,176.4607527,209.877426863,40
dev,6,211.518531538,128.378534987,0
dev,6.2,211.518531538,128.378534987,40
dev,7,212.735313281,91.0630536624,0
dev,7.2,212.735313281,91.0630536624,40
dev,8,118.051527579,170.192237258,0
dev,8.2,118.051527579,170.192237258,40
dev,9,115.075502526,121.838288438,0
dev,9.2,115.075502526,121.838288438,40
dev,10,45.1067172489,103.937104642,0
dev,10.2,45.1067172489,103.937104642,40
dev,11,67.0129395175,167.413226258,0
dev,11.2,67.0129395175,167.413226258,40
dev,12,197.37314406,24.2027187074,0
dev,12.2,197.37314406,24.2027187074,40
dev,13,229.956398406,127.589335118,0
dev,13.2,229.956398406,127.589335118,40
dev,14,174.281083212,221.559196709,0
dev,14.2,174.281083212,221.559196709,40
dev,15,110.919472573,150.018813899,0
dev,15.2,110.919472573,150.018813899,40
link,0,0,0.2
link,1,1,1.2
link,2,2,2.2
link,3,3,3.2
link,4,4,4.2
link,5,5,5.2
link,6,6,6.2
link,7,7,7.2
link,8,8,8.2
link,9,9,9.2
link,10,10,10.2
link,11,11,11.2
link,12,12,12.2
link,13,13,13.2
link,14,14,14.2
link,15,15,15.2
