Rho, Beta, QMean, q1, q2, q3, q4, q5, q6, q7, q8, q9, q10, q11, q12, q13, q14, q15, q16
0.2, 0.01, 7042.09, 0.127231881561, 3.27465229738, 0.102192395513, 1.34410340194, 5.4959906681, 27143.0709595, 27978.071909, 0.379212119585, 4.07508080453, 29087.5641538, 28445.9607192, 0.227007310467, 0.261602818028, 0.350855251814, 3.19087233681, 0
0.2, 0.01, 6997.78, 0, 1.90994691927, 2.33755847446, 1.04307830763, 27.8012279444, 27529.6072224, 27652.1238652, 3.06011085811, 8.03513785498, 28233.5234911, 28493.2769941, 1.00509772554, 0, 1.13982886576, 8.88317617817, 0.694232273936
0.2, 0.01, 7157.69, 0.323371253859, 0, 2.04698773505, 0.045071864398, 0.131223264736, 28247.8811871, 27862.7386807, 3.29217457858, 440.972224937, 28708.3893798, 29237.3122076, 0.362747666595, 0.23207389062, 11.687632333, 5.06956148086, 2.61310546595
0.2, 0.01, 7120.36, 0.256101038852, 0, 2.01828256683, 0, 1.25428956324, 29673.2715432, 28116.8318497, 0.361380494298, 0.249289164221, 28666.8019136, 27458.6419389, 1.68751855325, 1.61017537671, 1.71555946729, 1.04306218163, 0.0441040065412
0.2, 0.01, 6984.24, 1.37535726458, 26.9634455448, 0.0768681615695, 1.02787439229, 0.493823395436, 28330.5028991, 27436.5785787, 0.148874489483, 3.81944870691, 27691.5793416, 28217.1996017, 4.19487500597, 1.30153368545, 32.0624360346, 0.482369086572, 0
0.2, 0.01, 7169.35, 0.149595376732, 1.11877176516, 4.91629825858, 1.35444356695, 1.20456893733, 27034.8252036, 27850.7868367, 6.02126828076, 1.88315255616, 29234.2872239, 30290.1097772, 279.114755339, 0, 1.10883218529, 2.61970984889, 0.053411671829
0.2, 0.01, 7170.03, 0.280269805923, 0, 0.200522137703, 0, 1.25579382256, 27392.3763304, 28618.5995727, 1.66118553413, 10.4244300489, 29362.9182636, 29147.9477049, 0.298822497235, 0.622311961116, 180.931562348, 1.96216811282, 1.05737202086
0.2, 0.01, 7030.78, 0.129547668726, 2.24428999632, 3.1821532288, 0, 8.89570238965, 28834.4366932, 27880.0084602, 4.12339648168, 4.24241990102, 28884.2600392, 26861.5326371, 2.50038008293, 0.315088506477, 4.77642611138, 1.81722302403, 0.0358567560934
0.2, 0.01, 7046.71, 0.0423955515468, 55.9574432477, 14.4677783559, 1.2893983563, 3.44629066704, 28341.8975156, 27613.594005, 4.18327202775, 0.129938802758, 27261.2959517, 29445.9350044, 0.860535957823, 0, 3.50181569441, 0.0903601805355, 0.592367548999
0.2, 0.01, 7071.34, 0.150192696558, 1.22313506259, 5.95606134307, 1.581395184, 0.733351380438, 27999.677537, 28536.5455188, 4.90264442774, 7.07378188105, 28695.8316219, 27876.6043095, 0.698215541632, 0, 1.27917670242, 6.36374931527, 2.77271345644
0.2, 0.01, 7165.56, 0.197378209986, 9.03398273311, 0.0354827033674, 1.81652155675, 7.77917075945, 27533.9339443, 30053.0351631, 0.813425789861, 4.82829805288, 26929.4785711, 30076.3783984, 0, 3.72773298408, 4.58851333473, 22.507931722, 0.758463906493
0.2, 0.01, 7170.93, 0, 1.39059530079, 0.924293100883, 0.0353404926505, 0.156451485896, 29637.6060016, 28179.798608, 0.809134211895, 0.0777985574203, 28348.1418073, 28552.3142216, 3.84148236046, 0, 7.39682490714, 0, 2.43312467942
0.2, 0.01, 7079.48, 0.767780247679, 20.9642299913, 2.30929181423, 2.27749637066, 2.80372493124, 28795.5819949, 28591.6956167, 0.225928551094, 0.0725393294575, 28679.0502803, 27070.9918796, 18.9083560667, 0.965647309434, 5.26084348063, 78.3813283252, 1.43417089591
0.2, 0.01, 7158.31, 0.98989425033, 3.40158554647, 1.9038256111, 0, 3.71640910087, 26825.1574863, 29026.8870227, 2.50651842741, 2.19305343206, 29537.6751008, 29123.4847917, 0.96732811589, 1.33805251617, 0.918415450818, 1.19511741864, 0.598103519212
